2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery","Boundary Road Brewery"
"Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd","Asahi Breweries Ltd"
,,,,,,,,,,,,,,,"Mountain Goat Beer Pty Ltd","Mountain Goat Beer Pty Ltd","Mountain Goat Beer Pty Ltd"
,,,,,,,,,,,,,,,,"Plzeňský Prazdroj","Plzeňský Prazdroj"
,,,,,,,,,,,,,,,,"Pivovar Velké Popovice a.s.","Pivovar Velké Popovice a.s."
,,,,,,,,,,,,,,,,"Pivovar Radegast a.s.","Pivovar Radegast a.s."
,,,,,,,,,,,,,,,,"Meantime Brewing Company Limited","Meantime Brewing Company Limited"
,,,,,,,,,,,,,,,,"Pivovar Saris","Pivovar Saris"
,,,,,,,,,,,,,,,,"Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A."
,,,,,,,,,,,,,,,,"Grolsch Bierbrouwerij N.V.","Grolsch Bierbrouwerij N.V."
,,,,,,,,,,,,,,,,,"Browar Dojlidy S.A."
,,,,,,,,,,,,,,,,,"Lech Browary Wielkopolski (SABMiller)"
,,,,,,,,,,,,,,,,,"Kompania Piwowarska"
,,,,,,,,,,,,,,,,,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)"
,,,,,,,,,,,,,,,,,"Dreher Brewery"
,,,,,,,,,,,,,,,,,"Ursus S.A. (SAB) / Compania de Bere Romania"
