location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Austria,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahamas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Belgium,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
Brazil,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
China,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Congo,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Croatia,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic,1,1,1,1,1,1,1,2,5,5,5,3,3,3,3,3,3,3
Egypt,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
England,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Finland,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Ghana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Greece,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haiti,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Hungary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indonesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ireland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Italy,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Laos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lebanon,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Martinique,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Netherlands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Caledonia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Nigeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Papua New Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Poland,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Reunion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Romania,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Russia,1,1,1,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8
Saint Lucia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Scotland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Serbia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singapore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovak Republic,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Spain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sri Lanka,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suriname,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Vietnam,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
